Name,Points,PerKr,URL,ImgURL
24shop,20,100,https://onlineshopping.flysas.com/se/24.se/19232/,https://onlineshopping.flysas.com/Images/Shops/24.se/se.jpg
About you,50,100,https://onlineshopping.flysas.com/se/about-you/19315/,https://onlineshopping.flysas.com/Images/Shops/about-you/se.jpg
Acer,25,100,https://onlineshopping.flysas.com/se/acer/19474/,https://onlineshopping.flysas.com/Images/Shops/acer/se.jpg
ActionKing.se,50,100,https://onlineshopping.flysas.com/se/actionking.se/18563/,https://onlineshopping.flysas.com/Images/Shops/actionking.se/se.jpg
Adidas,25,100,https://onlineshopping.flysas.com/se/adidas/19091/,https://onlineshopping.flysas.com/Images/Shops/adidas/se.jpg
Adlibris,50,100,https://onlineshopping.flysas.com/se/adlibris/7313/,https://onlineshopping.flysas.com/Images/Shops/adlibris/se.jpg
Afound,25,100,https://onlineshopping.flysas.com/se/afound/19545/,https://onlineshopping.flysas.com/Images/Shops/afound/se.jpg
Agood Company,25,100,https://onlineshopping.flysas.com/se/agood-company/19534/,https://onlineshopping.flysas.com/Images/Shops/agood-company/se.jpg
Åhléns,20,100,https://onlineshopping.flysas.com/se/ahlens/8003/,https://onlineshopping.flysas.com/Images/Shops/Ahlens/se.jpg
Akademibokhandeln,25,100,https://onlineshopping.flysas.com/se/akademibokhandeln/19563/,https://onlineshopping.flysas.com/Images/Shops/akademibokhandeln/se.jpg
Albrekts Guld,25,100,https://onlineshopping.flysas.com/se/albrekts-guld/18360/,https://onlineshopping.flysas.com/Images/Shops/albrekts-guld/se.jpg
Alensa,25,100,https://onlineshopping.flysas.com/se/alensa-1/19226/,https://onlineshopping.flysas.com/Images/Shops/alensa-1/se.jpg
AliExpress,25,100,https://onlineshopping.flysas.com/se/ali-express/7749/,https://onlineshopping.flysas.com/Images/Shops/ali-express/se.jpg
alldo.se,50,100,https://onlineshopping.flysas.com/se/alldo.se-1/18211/,https://onlineshopping.flysas.com/Images/Shops/alldo.se-1/se.jpg
Allectra,50,100,https://onlineshopping.flysas.com/se/allectra/18912/,https://onlineshopping.flysas.com/Images/Shops/allectra/se.jpg
Allente,1,,https://onlineshopping.flysas.com/se/viasat/18767/,https://onlineshopping.flysas.com/Images/Shops/viasat/se.jpg
Allt i hemmet,500,,https://onlineshopping.flysas.com/se/allt-i-hemmet--6-nr-+-2-mon-amie-skalar/19138/,https://onlineshopping.flysas.com/Images/Shops/allt-i-hemmet--6-nr-+-2-mon-amie-skalar/se.jpg
Amelia,500,,https://onlineshopping.flysas.com/se/amlia/19002/,https://onlineshopping.flysas.com/Images/Shops/amlia/se.jpg
An Ivy,25,100,https://onlineshopping.flysas.com/se/an-ivy/19124/,https://onlineshopping.flysas.com/Images/Shops/an-ivy/se.jpg
ANINE BING,50,100,https://onlineshopping.flysas.com/se/anine-bing/19150/,https://onlineshopping.flysas.com/Images/Shops/anine-bing/se.jpg
Anodyne,50,100,https://onlineshopping.flysas.com/se/anodyne/19324/,https://onlineshopping.flysas.com/Images/Shops/anodyne/se.jpg
Antibite,100,100,https://onlineshopping.flysas.com/se/antibite/18516/,https://onlineshopping.flysas.com/Images/Shops/antibite/se.jpg
Apohem,25,100,https://onlineshopping.flysas.com/se/apohem/18744/,https://onlineshopping.flysas.com/Images/Shops/apohem/se.jpg
Apotek Hjärtat,25,100,https://onlineshopping.flysas.com/se/apotek-hjartat/17260/,https://onlineshopping.flysas.com/Images/Shops/apotek-hjartat/se.jpg
Apotek365,25,100,https://onlineshopping.flysas.com/se/apotek365/16370/,https://onlineshopping.flysas.com/Images/Shops/apotek365/se.jpg
Apoteket,25,100,https://onlineshopping.flysas.com/se/apoteket/18381/,https://onlineshopping.flysas.com/Images/Shops/apoteket/se.jpg
Apple,10,100,https://onlineshopping.flysas.com/se/apple/7023/,https://onlineshopping.flysas.com/Images/Shops/apple/se.jpg
Apuls24,50,100,https://onlineshopping.flysas.com/se/apuls24/19297/,https://onlineshopping.flysas.com/Images/Shops/apuls24/se.jpg
ARCY,200,,https://onlineshopping.flysas.com/se/arcy/19377/,https://onlineshopping.flysas.com/Images/Shops/arcy/se.jpg
Arken Zoo,25,100,https://onlineshopping.flysas.com/se/arken-zoo/19570/,https://onlineshopping.flysas.com/Images/Shops/arken-zoo/se.jpg
ARKET,25,100,https://onlineshopping.flysas.com/se/arket/18797/,https://onlineshopping.flysas.com/Images/Shops/arket/se.jpg
Årstiderna,750,,https://onlineshopping.flysas.com/se/arstiderna/18159/,https://onlineshopping.flysas.com/Images/Shops/Arstiderna/se.jpg
Artiks,100,100,https://onlineshopping.flysas.com/se/artiks/18841/,https://onlineshopping.flysas.com/Images/Shops/artiks/se.jpg
Åshild,25,100,https://onlineshopping.flysas.com/se/ashild/19259/,https://onlineshopping.flysas.com/Images/Shops/Ashild/se.jpg
